Date,Season,home,visitor,FT,hgoal,vgoal,division,tier,totgoal,goaldif,result
1977-08-20,1977,Bradford City,Cambridge United,4-0,4,0,3,3,4,4,H
1977-08-20,1977,Bury,Lincoln City,1-0,1,0,3,3,1,1,H
1977-08-20,1977,Chester,Hereford United,4-1,4,1,3,3,5,3,H
1977-08-20,1977,Gillingham,Colchester United,1-3,1,3,3,3,4,-2,A
1977-08-20,1977,Oxford United,Rotherham United,2-3,2,3,3,3,5,-1,A
1977-08-20,1977,Peterborough United,Portsmouth,0-0,0,0,3,3,0,0,D
1977-08-20,1977,Plymouth Argyle,Preston North End,0-0,0,0,3,3,0,0,D
1977-08-20,1977,Port Vale,Chesterfield,1-3,1,3,3,3,4,-2,A
1977-08-20,1977,Sheffield Wednesday,Swindon Town,1-1,1,1,3,3,2,0,D
1977-08-20,1977,Shrewsbury Town,Wrexham,2-1,2,1,3,3,3,1,H
1977-08-20,1977,Tranmere Rovers,Carlisle United,3-2,3,2,3,3,5,1,H
1977-08-20,1977,Walsall,Exeter City,1-3,1,3,3,3,4,-2,A
1977-08-22,1977,Wrexham,Oxford United,2-2,2,2,3,3,4,0,D
1977-08-23,1977,Colchester United,Bradford City,3-0,3,0,3,3,3,3,H
1977-08-23,1977,Swindon Town,Peterborough United,2-0,2,0,3,3,2,2,H
1977-08-24,1977,Lincoln City,Walsall,2-2,2,2,3,3,4,0,D
1977-08-26,1977,Lincoln City,Shrewsbury Town,1-3,1,3,3,3,4,-2,A
1977-08-27,1977,Bradford City,Oxford United,2-3,2,3,3,3,5,-1,A
1977-08-27,1977,Cambridge United,Gillingham,2-3,2,3,3,3,5,-1,A
1977-08-27,1977,Carlisle United,Plymouth Argyle,0-0,0,0,3,3,0,0,D
1977-08-27,1977,Chesterfield,Peterborough United,2-0,2,0,3,3,2,2,H
1977-08-27,1977,Colchester United,Chester,2-0,2,0,3,3,2,2,H
1977-08-27,1977,Exeter City,Bury,2-2,2,2,3,3,4,0,D
1977-08-27,1977,Hereford United,Tranmere Rovers,0-1,0,1,3,3,1,-1,A
1977-08-27,1977,Preston North End,Rotherham United,3-2,3,2,3,3,5,1,H
1977-08-27,1977,Sheffield Wednesday,Walsall,0-0,0,0,3,3,0,0,D
1977-08-27,1977,Swindon Town,Portsmouth,3-1,3,1,3,3,4,2,H
1977-08-27,1977,Wrexham,Port Vale,1-1,1,1,3,3,2,0,D
1977-09-02,1977,Chester,Cambridge United,0-0,0,0,3,3,0,0,D
1977-09-02,1977,Tranmere Rovers,Colchester United,1-0,1,0,3,3,1,1,H
1977-09-03,1977,Bury,Sheffield Wednesday,3-0,3,0,3,3,3,3,H
1977-09-03,1977,Gillingham,Bradford City,4-1,4,1,3,3,5,3,H
1977-09-03,1977,Oxford United,Preston North End,1-0,1,0,3,3,1,1,H
1977-09-03,1977,Peterborough United,Wrexham,2-2,2,2,3,3,4,0,D
1977-09-03,1977,Plymouth Argyle,Hereford United,2-0,2,0,3,3,2,2,H
1977-09-03,1977,Port Vale,Lincoln City,2-1,2,1,3,3,3,1,H
1977-09-03,1977,Portsmouth,Chesterfield,3-0,3,0,3,3,3,3,H
1977-09-03,1977,Rotherham United,Carlisle United,0-0,0,0,3,3,0,0,D
1977-09-03,1977,Shrewsbury Town,Exeter City,0-2,0,2,3,3,2,-2,A
1977-09-03,1977,Walsall,Swindon Town,2-0,2,0,3,3,2,2,H
1977-09-07,1977,Chesterfield,Shrewsbury Town,3-1,3,1,3,3,4,2,H
1977-09-07,1977,Hereford United,Gillingham,2-0,2,0,3,3,2,2,H
1977-09-09,1977,Colchester United,Plymouth Argyle,3-1,3,1,3,3,4,2,H
1977-09-10,1977,Bradford City,Chester,2-2,2,2,3,3,4,0,D
1977-09-10,1977,Cambridge United,Tranmere Rovers,1-0,1,0,3,3,1,1,H
1977-09-10,1977,Carlisle United,Preston North End,3-1,3,1,3,3,4,2,H
1977-09-10,1977,Exeter City,Port Vale,4-1,4,1,3,3,5,3,H
1977-09-10,1977,Gillingham,Oxford United,2-1,2,1,3,3,3,1,H
1977-09-10,1977,Hereford United,Rotherham United,2-3,2,3,3,3,5,-1,A
1977-09-10,1977,Lincoln City,Peterborough United,0-1,0,1,3,3,1,-1,A
1977-09-10,1977,Sheffield Wednesday,Shrewsbury Town,0-1,0,1,3,3,1,-1,A
1977-09-10,1977,Swindon Town,Chesterfield,2-1,2,1,3,3,3,1,H
1977-09-10,1977,Walsall,Bury,1-2,1,2,3,3,3,-1,A
1977-09-10,1977,Wrexham,Portsmouth,2-0,2,0,3,3,2,2,H
1977-09-12,1977,Port Vale,Bradford City,1-0,1,0,3,3,1,1,H
1977-09-12,1977,Tranmere Rovers,Wrexham,3-1,3,1,3,3,4,2,H
1977-09-13,1977,Bury,Gillingham,2-2,2,2,3,3,4,0,D
1977-09-13,1977,Peterborough United,Carlisle United,2-1,2,1,3,3,3,1,H
1977-09-13,1977,Portsmouth,Colchester United,0-0,0,0,3,3,0,0,D
1977-09-13,1977,Preston North End,Swindon Town,1-1,1,1,3,3,2,0,D
1977-09-13,1977,Rotherham United,Exeter City,1-0,1,0,3,3,1,1,H
1977-09-13,1977,Shrewsbury Town,Cambridge United,3-3,3,3,3,3,6,0,D
1977-09-14,1977,Chester,Sheffield Wednesday,2-1,2,1,3,3,3,1,H
1977-09-14,1977,Chesterfield,Hereford United,2-1,2,1,3,3,3,1,H
1977-09-14,1977,Oxford United,Lincoln City,1-0,1,0,3,3,1,1,H
1977-09-16,1977,Swindon Town,Bury,1-1,1,1,3,3,2,0,D
1977-09-16,1977,Tranmere Rovers,Bradford City,0-0,0,0,3,3,0,0,D
1977-09-17,1977,Carlisle United,Oxford United,2-2,2,2,3,3,4,0,D
1977-09-17,1977,Chester,Gillingham,2-2,2,2,3,3,4,0,D
1977-09-17,1977,Chesterfield,Wrexham,1-0,1,0,3,3,1,1,H
1977-09-17,1977,Peterborough United,Exeter City,1-1,1,1,3,3,2,0,D
1977-09-17,1977,Plymouth Argyle,Cambridge United,0-1,0,1,3,3,1,-1,A
1977-09-17,1977,Port Vale,Sheffield Wednesday,0-0,0,0,3,3,0,0,D
1977-09-17,1977,Portsmouth,Lincoln City,0-2,0,2,3,3,2,-2,A
1977-09-17,1977,Preston North End,Hereford United,0-0,0,0,3,3,0,0,D
1977-09-17,1977,Rotherham United,Colchester United,1-0,1,0,3,3,1,1,H
1977-09-17,1977,Shrewsbury Town,Walsall,0-0,0,0,3,3,0,0,D
1977-09-20,1977,Carlisle United,Chester,0-0,0,0,3,3,0,0,D
1977-09-23,1977,Lincoln City,Chesterfield,1-0,1,0,3,3,1,1,H
1977-09-24,1977,Bradford City,Plymouth Argyle,0-1,0,1,3,3,1,-1,A
1977-09-24,1977,Bury,Shrewsbury Town,0-3,0,3,3,3,3,-3,A
1977-09-24,1977,Cambridge United,Rotherham United,1-1,1,1,3,3,2,0,D
1977-09-24,1977,Colchester United,Preston North End,0-0,0,0,3,3,0,0,D
1977-09-24,1977,Exeter City,Portsmouth,0-1,0,1,3,3,1,-1,A
1977-09-24,1977,Gillingham,Tranmere Rovers,1-1,1,1,3,3,2,0,D
1977-09-24,1977,Hereford United,Carlisle United,1-0,1,0,3,3,1,1,H
1977-09-24,1977,Oxford United,Chester,4-1,4,1,3,3,5,3,H
1977-09-24,1977,Sheffield Wednesday,Peterborough United,0-1,0,1,3,3,1,-1,A
1977-09-24,1977,Walsall,Port Vale,2-0,2,0,3,3,2,2,H
1977-09-24,1977,Wrexham,Swindon Town,2-1,2,1,3,3,3,1,H
1977-09-26,1977,Exeter City,Carlisle United,0-1,0,1,3,3,1,-1,A
1977-09-27,1977,Bury,Tranmere Rovers,1-0,1,0,3,3,1,1,H
1977-09-27,1977,Cambridge United,Swindon Town,5-2,5,2,3,3,7,3,H
1977-09-27,1977,Colchester United,Port Vale,2-3,2,3,3,3,5,-1,A
1977-09-27,1977,Gillingham,Chesterfield,3-0,3,0,3,3,3,3,H
1977-09-27,1977,Sheffield Wednesday,Plymouth Argyle,1-1,1,1,3,3,2,0,D
1977-09-27,1977,Shrewsbury Town,Rotherham United,4-1,4,1,3,3,5,3,H
1977-09-27,1977,Walsall,Preston North End,0-0,0,0,3,3,0,0,D
1977-09-28,1977,Bradford City,Peterborough United,2-1,2,1,3,3,3,1,H
1977-09-28,1977,Chester,Wrexham,1-1,1,1,3,3,2,0,D
1977-09-28,1977,Lincoln City,Hereford United,0-0,0,0,3,3,0,0,D
1977-09-28,1977,Oxford United,Portsmouth,0-0,0,0,3,3,0,0,D
1977-09-30,1977,Swindon Town,Shrewsbury Town,5-0,5,0,3,3,5,5,H
1977-09-30,1977,Tranmere Rovers,Chester,5-0,5,0,3,3,5,5,H
1977-10-01,1977,Carlisle United,Colchester United,1-3,1,3,3,3,4,-2,A
1977-10-01,1977,Chesterfield,Exeter City,0-0,0,0,3,3,0,0,D
1977-10-01,1977,Hereford United,Oxford United,2-1,2,1,3,3,3,1,H
1977-10-01,1977,Peterborough United,Walsall,0-0,0,0,3,3,0,0,D
1977-10-01,1977,Plymouth Argyle,Gillingham,1-3,1,3,3,3,4,-2,A
1977-10-01,1977,Port Vale,Bury,1-2,1,2,3,3,3,-1,A
1977-10-01,1977,Portsmouth,Sheffield Wednesday,2-2,2,2,3,3,4,0,D
1977-10-01,1977,Preston North End,Cambridge United,2-0,2,0,3,3,2,2,H
1977-10-01,1977,Rotherham United,Bradford City,2-1,2,1,3,3,3,1,H
1977-10-01,1977,Wrexham,Lincoln City,1-0,1,0,3,3,1,1,H
1977-10-03,1977,Tranmere Rovers,Exeter City,2-1,2,1,3,3,3,1,H
1977-10-03,1977,Wrexham,Cambridge United,4-1,4,1,3,3,5,3,H
1977-10-04,1977,Carlisle United,Lincoln City,2-3,2,3,3,3,5,-1,A
1977-10-04,1977,Peterborough United,Oxford United,1-0,1,0,3,3,1,1,H
1977-10-04,1977,Plymouth Argyle,Shrewsbury Town,2-2,2,2,3,3,4,0,D
1977-10-04,1977,Portsmouth,Chester,0-0,0,0,3,3,0,0,D
1977-10-04,1977,Preston North End,Sheffield Wednesday,2-1,2,1,3,3,3,1,H
1977-10-04,1977,Rotherham United,Walsall,3-0,3,0,3,3,3,3,H
1977-10-04,1977,Swindon Town,Bradford City,0-1,0,1,3,3,1,-1,A
1977-10-05,1977,Chesterfield,Colchester United,0-0,0,0,3,3,0,0,D
1977-10-05,1977,Hereford United,Bury,1-0,1,0,3,3,1,1,H
1977-10-08,1977,Bradford City,Preston North End,1-1,1,1,3,3,2,0,D
1977-10-08,1977,Bury,Peterborough United,0-0,0,0,3,3,0,0,D
1977-10-08,1977,Cambridge United,Carlisle United,2-0,2,0,3,3,2,2,H
1977-10-08,1977,Chester,Plymouth Argyle,1-1,1,1,3,3,2,0,D
1977-10-08,1977,Colchester United,Hereford United,0-0,0,0,3,3,0,0,D
1977-10-08,1977,Exeter City,Wrexham,0-1,0,1,3,3,1,-1,A
1977-10-08,1977,Gillingham,Rotherham United,2-1,2,1,3,3,3,1,H
1977-10-08,1977,Lincoln City,Swindon Town,3-1,3,1,3,3,4,2,H
1977-10-08,1977,Oxford United,Tranmere Rovers,1-0,1,0,3,3,1,1,H
1977-10-08,1977,Sheffield Wednesday,Chesterfield,1-0,1,0,3,3,1,1,H
1977-10-08,1977,Shrewsbury Town,Port Vale,3-0,3,0,3,3,3,3,H
1977-10-08,1977,Walsall,Portsmouth,1-1,1,1,3,3,2,0,D
1977-10-10,1977,Port Vale,Gillingham,2-2,2,2,3,3,4,0,D
1977-10-11,1977,Rotherham United,Plymouth Argyle,1-2,1,2,3,3,3,-1,A
1977-10-12,1977,Exeter City,Sheffield Wednesday,2-1,2,1,3,3,3,1,H
1977-10-13,1977,Plymouth Argyle,Walsall,3-3,3,3,3,3,6,0,D
1977-10-14,1977,Colchester United,Oxford United,1-1,1,1,3,3,2,0,D
1977-10-15,1977,Carlisle United,Bradford City,1-1,1,1,3,3,2,0,D
1977-10-15,1977,Chesterfield,Walsall,0-1,0,1,3,3,1,-1,A
1977-10-15,1977,Hereford United,Cambridge United,0-0,0,0,3,3,0,0,D
1977-10-15,1977,Lincoln City,Exeter City,1-2,1,2,3,3,3,-1,A
1977-10-15,1977,Peterborough United,Shrewsbury Town,2-1,2,1,3,3,3,1,H
1977-10-15,1977,Plymouth Argyle,Tranmere Rovers,0-1,0,1,3,3,1,-1,A
1977-10-15,1977,Portsmouth,Bury,1-1,1,1,3,3,2,0,D
1977-10-15,1977,Preston North End,Gillingham,2-0,2,0,3,3,2,2,H
1977-10-15,1977,Rotherham United,Chester,1-1,1,1,3,3,2,0,D
1977-10-15,1977,Swindon Town,Port Vale,1-1,1,1,3,3,2,0,D
1977-10-15,1977,Wrexham,Sheffield Wednesday,1-1,1,1,3,3,2,0,D
1977-10-21,1977,Tranmere Rovers,Rotherham United,2-2,2,2,3,3,4,0,D
1977-10-22,1977,Bradford City,Hereford United,0-0,0,0,3,3,0,0,D
1977-10-22,1977,Bury,Chesterfield,0-0,0,0,3,3,0,0,D
1977-10-22,1977,Cambridge United,Colchester United,2-0,2,0,3,3,2,2,H
1977-10-22,1977,Chester,Swindon Town,1-0,1,0,3,3,1,1,H
1977-10-22,1977,Exeter City,Preston North End,2-0,2,0,3,3,2,2,H
1977-10-22,1977,Gillingham,Carlisle United,1-1,1,1,3,3,2,0,D
1977-10-22,1977,Oxford United,Plymouth Argyle,2-1,2,1,3,3,3,1,H
1977-10-22,1977,Port Vale,Peterborough United,0-0,0,0,3,3,0,0,D
1977-10-22,1977,Sheffield Wednesday,Lincoln City,2-0,2,0,3,3,2,2,H
1977-10-22,1977,Shrewsbury Town,Portsmouth,6-1,6,1,3,3,7,5,H
1977-10-22,1977,Walsall,Wrexham,0-1,0,1,3,3,1,-1,A
1977-10-25,1977,Preston North End,Tranmere Rovers,2-1,2,1,3,3,3,1,H
1977-10-28,1977,Colchester United,Peterborough United,3-0,3,0,3,3,3,3,H
1977-10-28,1977,Tranmere Rovers,Walsall,0-1,0,1,3,3,1,-1,A
1977-10-29,1977,Bradford City,Sheffield Wednesday,3-2,3,2,3,3,5,1,H
1977-10-29,1977,Cambridge United,Oxford United,2-1,2,1,3,3,3,1,H
1977-10-29,1977,Carlisle United,Chesterfield,2-1,2,1,3,3,3,1,H
1977-10-29,1977,Gillingham,Shrewsbury Town,1-1,1,1,3,3,2,0,D
1977-10-29,1977,Hereford United,Port Vale,1-1,1,1,3,3,2,0,D
1977-10-29,1977,Plymouth Argyle,Portsmouth,3-1,3,1,3,3,4,2,H
1977-10-29,1977,Preston North End,Chester,2-1,2,1,3,3,3,1,H
1977-10-29,1977,Rotherham United,Lincoln City,0-0,0,0,3,3,0,0,D
1977-10-29,1977,Swindon Town,Exeter City,4-0,4,0,3,3,4,4,H
1977-10-29,1977,Wrexham,Bury,3-1,3,1,3,3,4,2,H
1977-11-05,1977,Bury,Rotherham United,1-1,1,1,3,3,2,0,D
1977-11-05,1977,Chesterfield,Bradford City,2-0,2,0,3,3,2,2,H
1977-11-05,1977,Exeter City,Oxford United,2-1,2,1,3,3,3,1,H
1977-11-05,1977,Lincoln City,Chester,2-1,2,1,3,3,3,1,H
1977-11-05,1977,Peterborough United,Cambridge United,2-0,2,0,3,3,2,2,H
1977-11-05,1977,Port Vale,Preston North End,0-0,0,0,3,3,0,0,D
1977-11-05,1977,Portsmouth,Tranmere Rovers,2-5,2,5,3,3,7,-3,A
1977-11-05,1977,Sheffield Wednesday,Carlisle United,3-1,3,1,3,3,4,2,H
1977-11-05,1977,Shrewsbury Town,Hereford United,3-0,3,0,3,3,3,3,H
1977-11-05,1977,Swindon Town,Gillingham,3-2,3,2,3,3,5,1,H
1977-11-05,1977,Walsall,Colchester United,4-2,4,2,3,3,6,2,H
1977-11-05,1977,Wrexham,Plymouth Argyle,2-0,2,0,3,3,2,2,H
1977-11-08,1977,Cambridge United,Bury,3-0,3,0,3,3,3,3,H
1977-11-11,1977,Colchester United,Swindon Town,2-0,2,0,3,3,2,2,H
1977-11-12,1977,Bradford City,Bury,2-1,2,1,3,3,3,1,H
1977-11-12,1977,Cambridge United,Lincoln City,5-0,5,0,3,3,5,5,H
1977-11-12,1977,Carlisle United,Portsmouth,3-1,3,1,3,3,4,2,H
1977-11-12,1977,Chester,Port Vale,2-1,2,1,3,3,3,1,H
1977-11-12,1977,Gillingham,Exeter City,1-0,1,0,3,3,1,1,H
1977-11-12,1977,Hereford United,Walsall,3-2,3,2,3,3,5,1,H
